hotel_nombre,fecha,tasa_ocupacion,reservas_confirmadas,cancelaciones,precio_promedio_noche
ProLiant Haven,2024-03-08,51,171,10,141.57
Apollo Executive Beach Resort,2024-03-08,42,152,16,139.28
Aruba Lodge,2024-03-08,33,80,7,128.35
Alletra Haven,2024-03-08,44,177,33,132.57
dHCI Platinum Beach Resort,2024-03-08,42,161,20,155.95
GreenLake Platinum Heritage Inn,2024-03-08,42,169,26,159.71
Pointnext Signature Residences & Suites,2024-03-08,54,142,16,110.21
ProLiant Place,2024-03-08,42,167,16,161.41
Synergy Golden Grand Hotel,2024-03-08,56,198,30,186.26
Alletra Resort,2024-03-08,31,125,11,109.24
GreenLake Digital Business Suites,2024-03-08,47,149,17,175.41
Apollo Resort & Spa,2024-03-08,38,159,31,101.22
Nimble Inn,2024-03-08,31,89,15,130.44
Ezmeral Grand Hotel,2024-03-08,47,221,25,123.24
Alletra Boutique Hotel,2024-03-08,48,168,23,148.17
Simplivity Golden Plaza Hotel,2024-03-08,57,196,13,193.3
Cray Villas,2024-03-08,43,177,23,103.74
Apollo Diamond Suites,2024-03-08,36,134,18,124.84
Apollo Towers,2024-03-08,60,175,24,157.28
Alletra Diamond Grand Hotel,2024-03-09,52,237,38,202.66
ProLiant Towers,2024-03-09,67,307,27,216.14
Aruba Luxury Lodge,2024-03-09,60,178,34,179.59
InfoSight Boutique Hotel,2024-03-09,52,225,32,204.5
Primera Grand,2024-03-09,63,263,18,212.71
dHCI Executive Boutique Hotel,2024-03-09,67,182,16,128.98
ProLiant Haven,2024-03-09,41,152,13,103.03
Apollo Executive Beach Resort,2024-03-09,48,165,13,172.2
Aruba Lodge,2024-03-09,52,216,41,131.98
Alletra Haven,2024-03-09,48,123,19,179.67
dHCI Platinum Beach Resort,2024-03-09,37,84,13,107.03
GreenLake Platinum Heritage Inn,2024-03-09,46,225,28,178.76
Pointnext Signature Residences & Suites,2024-03-09,41,130,22,169.08
ProLiant Place,2024-03-09,37,142,22,89.6
Synergy Golden Grand Hotel,2024-03-09,43,166,24,153.66
Alletra Resort,2024-03-09,48,162,9,179.03
GreenLake Digital Business Suites,2024-03-09,72,237,20,244.52
Apollo Resort & Spa,2024-03-09,64,221,19,127.91
Nimble Inn,2024-03-09,40,185,19,161.14
Ezmeral Grand Hotel,2024-03-09,66,179,11,141.49
Alletra Boutique Hotel,2024-03-09,54,178,35,129.2
Simplivity Golden Plaza Hotel,2024-03-09,53,122,11,128.65
Cray Villas,2024-03-09,58,162,19,182.18
Apollo Diamond Suites,2024-03-09,43,152,26,114.56
Apollo Towers,2024-03-09,50,164,15,197.21
Alletra Diamond Grand Hotel,2024-03-10,47,144,12,137.88
ProLiant Towers,2024-03-10,67,320,54,185.75
Aruba Luxury Lodge,2024-03-10,48,136,18,128.37
InfoSight Boutique Hotel,2024-03-10,68,289,16,207.38
Primera Grand,2024-03-10,72,168,19,176.75
dHCI Executive Boutique Hotel,2024-03-10,51,179,16,195.72
ProLiant Haven,2024-03-10,65,214,14,117.67
Apollo Executive Beach Resort,2024-03-10,37,87,12,93.89
Aruba Lodge,2024-03-10,51,146,10,169.33
Alletra Haven,2024-03-10,49,228,21,144.11
dHCI Platinum Beach Resort,2024-03-10,59,226,35,153.04
GreenLake Platinum Heritage Inn,2024-03-10,49,192,10,110.5
Pointnext Signature Residences & Suites,2024-03-10,48,142,15,116.62
ProLiant Place,2024-03-10,53,247,27,138.13
Synergy Golden Grand Hotel,2024-03-10,56,132,17,178.36
Alletra Resort,2024-03-10,70,275,48,249.65
GreenLake Digital Business Suites,2024-03-10,49,107,15,158.59
Apollo Resort & Spa,2024-03-10,42,205,29,149.35
Nimble Inn,2024-03-10,56,232,38,176.41
Ezmeral Grand Hotel,2024-03-10,63,157,16,234.26
Alletra Boutique Hotel,2024-03-10,74,347,62,254.01
Simplivity Golden Plaza Hotel,2024-03-10,51,188,14,106.37
Cray Villas,2024-03-10,64,272,31,145.66
Apollo Diamond Suites,2024-03-10,70,212,40,243.55
Apollo Towers,2024-03-10,36,113,8,120.17
Alletra Diamond Grand Hotel,2024-03-11,58,185,36,133.47
ProLiant Towers,2024-03-11,41,164,20,124.09
Aruba Luxury Lodge,2024-03-11,39,154,13,98.86
InfoSight Boutique Hotel,2024-03-11,57,208,12,145.76
Primera Grand,2024-03-11,53,115,8,125.8
dHCI Executive Boutique Hotel,2024-03-11,30,87,11,125.85
ProLiant Haven,2024-03-11,54,259,37,119.6
Apollo Executive Beach Resort,2024-03-11,55,175,17,122.45
Aruba Lodge,2024-03-11,36,165,30,107.51
Alletra Haven,2024-03-11,33,136,21,132.85
dHCI Platinum Beach Resort,2024-03-11,60,275,37,156.3
GreenLake Platinum Heritage Inn,2024-03-11,51,150,8,107.76
Pointnext Signature Residences & Suites,2024-03-11,45,163,11,140.69
ProLiant Place,2024-03-11,40,151,8,109.39
Synergy Golden Grand Hotel,2024-03-11,52,242,30,130.78
Alletra Resort,2024-03-11,44,218,35,96.26
GreenLake Digital Business Suites,2024-03-11,47,133,23,120.92
Apollo Resort & Spa,2024-03-11,32,148,14,109.95
Nimble Inn,2024-03-11,47,191,17,181.73
Ezmeral Grand Hotel,2024-03-11,30,98,14,119.68
Alletra Boutique Hotel,2024-03-11,41,160,22,170.05
Simplivity Golden Plaza Hotel,2024-03-11,39,97,5,118.32
Cray Villas,2024-03-11,40,146,13,165.55
Apollo Diamond Suites,2024-03-11,40,125,22,169.63
Apollo Towers,2024-03-11,35,140,7,127.67
Alletra Diamond Grand Hotel,2024-03-12,39,162,28,133.44
ProLiant Towers,2024-03-12,50,109,19,174.45
Aruba Luxury Lodge,2024-03-12,47,164,22,115.26
InfoSight Boutique Hotel,2024-03-12,31,141,26,85.55
Primera Grand,2024-03-12,57,265,25,203.73
dHCI Executive Boutique Hotel,2024-03-12,40,194,36,166.31
ProLiant Haven,2024-03-12,42,146,28,175.46
Apollo Executive Beach Resort,2024-03-12,39,150,24,110.11
Aruba Lodge,2024-03-12,47,234,40,120.24
Alletra Haven,2024-03-12,53,150,14,161.52
dHCI Platinum Beach Resort,2024-03-12,58,170,28,135.13
GreenLake Platinum Heritage Inn,2024-03-12,31,63,4,125.56
Pointnext Signature Residences & Suites,2024-03-12,32,156,28,102.63
ProLiant Place,2024-03-12,55,155,9,134.41
Synergy Golden Grand Hotel,2024-03-12,55,134,7,200.4
Alletra Resort,2024-03-12,52,158,10,113.75
GreenLake Digital Business Suites,2024-03-12,48,196,12,168.33
Apollo Resort & Spa,2024-03-12,56,246,28,184.98
Nimble Inn,2024-03-12,55,186,35,204.67
Ezmeral Grand Hotel,2024-03-12,47,190,35,166.32
Alletra Boutique Hotel,2024-03-12,30,71,13,135.11
Simplivity Golden Plaza Hotel,2024-03-12,41,85,15,136.79
Cray Villas,2024-03-12,41,93,6,121.59
Apollo Diamond Suites,2024-03-12,51,164,26,133.15
Apollo Towers,2024-03-12,34,84,16,129.69
Alletra Diamond Grand Hotel,2024-03-13,47,167,16,124.92
ProLiant Towers,2024-03-13,37,83,8,102.36
Aruba Luxury Lodge,2024-03-13,54,168,13,192.26
InfoSight Boutique Hotel,2024-03-13,49,232,14,146.44
Primera Grand,2024-03-13,41,186,37,121.44
dHCI Executive Boutique Hotel,2024-03-13,31,92,6,111.62
ProLiant Haven,2024-03-13,43,171,20,153.54
Apollo Executive Beach Resort,2024-03-13,57,216,40,130.55
Aruba Lodge,2024-03-13,32,146,11,115.74
Alletra Haven,2024-03-13,55,118,21,121.04
dHCI Platinum Beach Resort,2024-03-13,30,116,8,80.96
GreenLake Platinum Heritage Inn,2024-03-13,30,60,6,99.54
Pointnext Signature Residences & Suites,2024-03-13,58,187,11,204.3
ProLiant Place,2024-03-13,33,137,26,143.48
Synergy Golden Grand Hotel,2024-03-13,38,115,10,132.12
Alletra Resort,2024-03-13,35,124,12,106.85
GreenLake Digital Business Suites,2024-03-13,50,119,10,116.6
Apollo Resort & Spa,2024-03-13,58,238,12,111.94
Nimble Inn,2024-03-13,48,124,6,125.17
Ezmeral Grand Hotel,2024-03-13,55,160,14,160.17
Alletra Boutique Hotel,2024-03-13,40,110,14,123.23
Simplivity Golden Plaza Hotel,2024-03-13,36,120,18,111.27
Cray Villas,2024-03-13,50,203,38,120.34
Apollo Diamond Suites,2024-03-13,34,147,28,126.19
Apollo Towers,2024-03-13,42,197,28,100.17
Alletra Diamond Grand Hotel,2024-03-14,40,126,18,98.82
ProLiant Towers,2024-03-14,52,159,11,131.33
Aruba Luxury Lodge,2024-03-14,59,262,14,224.64
InfoSight Boutique Hotel,2024-03-14,58,255,38,199.65
Primera Grand,2024-03-14,50,141,16,113.69
dHCI Executive Boutique Hotel,2024-03-14,41,84,15,94.63
ProLiant Haven,2024-03-14,43,173,31,160.65
Apollo Executive Beach Resort,2024-03-14,44,120,21,133.03
Aruba Lodge,2024-03-14,60,246,21,128.04
Alletra Haven,2024-03-14,36,173,12,100.1
dHCI Platinum Beach Resort,2024-03-14,32,111,7,112.39
GreenLake Platinum Heritage Inn,2024-03-14,41,136,12,119.49
Pointnext Signature Residences & Suites,2024-03-14,56,147,29,215.62
ProLiant Place,2024-03-14,59,216,26,189.46
Synergy Golden Grand Hotel,2024-03-14,47,193,31,141.94
Alletra Resort,2024-03-14,54,150,13,181.87
GreenLake Digital Business Suites,2024-03-14,56,275,37,204.45
Apollo Resort & Spa,2024-03-14,41,182,23,126.15
Nimble Inn,2024-03-14,44,180,16,110.8
Ezmeral Grand Hotel,2024-03-14,44,129,16,94.18
Alletra Boutique Hotel,2024-03-14,37,82,9,136.1
Simplivity Golden Plaza Hotel,2024-03-14,55,273,27,146.2
Cray Villas,2024-03-14,60,179,24,113.68
Apollo Diamond Suites,2024-03-14,42,201,31,142.16
Apollo Towers,2024-03-14,34,124,13,119.96
Alletra Diamond Grand Hotel,2024-03-15,44,157,27,94.6
ProLiant Towers,2024-03-15,41,97,5,94.92
Aruba Luxury Lodge,2024-03-15,49,160,23,150.96
InfoSight Boutique Hotel,2024-03-15,37,136,15,157.25
Primera Grand,2024-03-15,49,182,28,99.64
dHCI Executive Boutique Hotel,2024-03-15,31,78,6,85.18
ProLiant Haven,2024-03-15,33,97,13,124.47
Apollo Executive Beach Resort,2024-03-15,39,120,7,128.0
Aruba Lodge,2024-03-15,58,164,11,186.65
Alletra Haven,2024-03-15,43,213,24,171.24
dHCI Platinum Beach Resort,2024-03-15,39,126,15,159.21
GreenLake Platinum Heritage Inn,2024-03-15,45,144,10,140.96
Pointnext Signature Residences & Suites,2024-03-15,45,180,30,136.17
ProLiant Place,2024-03-15,53,250,28,177.62
Synergy Golden Grand Hotel,2024-03-15,35,126,17,148.73
Alletra Resort,2024-03-15,33,130,8,112.23
GreenLake Digital Business Suites,2024-03-15,44,193,22,163.98
Apollo Resort & Spa,2024-03-15,35,165,20,102.97
Nimble Inn,2024-03-15,33,128,17,126.76
Ezmeral Grand Hotel,2024-03-15,41,167,30,140.1
Alletra Boutique Hotel,2024-03-15,41,114,6,97.84
Simplivity Golden Plaza Hotel,2024-03-15,58,262,39,185.7
Cray Villas,2024-03-15,56,271,51,204.16
Apollo Diamond Suites,2024-03-15,54,216,22,170.78
Apollo Towers,2024-03-15,51,175,10,112.27
Alletra Diamond Grand Hotel,2024-03-16,73,265,35,260.6
ProLiant Towers,2024-03-16,50,167,29,141.07
Aruba Luxury Lodge,2024-03-16,47,220,30,136.87
InfoSight Boutique Hotel,2024-03-16,75,324,53,207.3
Primera Grand,2024-03-16,52,148,26,180.93
dHCI Executive Boutique Hotel,2024-03-16,66,200,19,228.71
ProLiant Haven,2024-03-16,67,246,17,127.48
Apollo Executive Beach Resort,2024-03-16,62,296,17,195.43
Aruba Lodge,2024-03-16,62,191,29,128.53
Alletra Haven,2024-03-16,64,130,22,149.16
dHCI Platinum Beach Resort,2024-03-16,59,269,47,159.71
GreenLake Platinum Heritage Inn,2024-03-16,59,294,24,200.58
Pointnext Signature Residences & Suites,2024-03-16,37,173,19,125.74
ProLiant Place,2024-03-16,50,139,14,118.83
Synergy Golden Grand Hotel,2024-03-16,64,174,14,226.85
Alletra Resort,2024-03-16,55,223,31,136.61
GreenLake Digital Business Suites,2024-03-16,67,216,31,191.34
Apollo Resort & Spa,2024-03-16,35,104,17,139.12
Nimble Inn,2024-03-16,51,156,12,124.3
Ezmeral Grand Hotel,2024-03-16,71,331,65,133.66
Alletra Boutique Hotel,2024-03-16,47,124,23,149.68
Simplivity Golden Plaza Hotel,2024-03-16,51,183,27,109.58
Cray Villas,2024-03-16,53,150,22,182.81
Apollo Diamond Suites,2024-03-16,66,323,24,224.78
Apollo Towers,2024-03-16,45,101,8,115.03
Alletra Diamond Grand Hotel,2024-03-17,65,279,27,218.56
ProLiant Towers,2024-03-17,69,219,20,179.14
Aruba Luxury Lodge,2024-03-17,44,166,25,97.32
InfoSight Boutique Hotel,2024-03-17,69,263,44,235.0
Primera Grand,2024-03-17,71,310,26,248.08
dHCI Executive Boutique Hotel,2024-03-17,44,98,16,151.08
ProLiant Haven,2024-03-17,42,142,15,130.3
Apollo Executive Beach Resort,2024-03-17,64,215,29,128.11
Aruba Lodge,2024-03-17,43,176,16,175.13
Alletra Haven,2024-03-17,61,135,7,192.16
dHCI Platinum Beach Resort,2024-03-17,57,254,33,173.47
GreenLake Platinum Heritage Inn,2024-03-17,40,176,23,116.88
Pointnext Signature Residences & Suites,2024-03-17,59,140,12,149.82
ProLiant Place,2024-03-17,56,146,27,147.93
Synergy Golden Grand Hotel,2024-03-17,59,294,46,112.82
Alletra Resort,2024-03-17,69,183,10,255.35
GreenLake Digital Business Suites,2024-03-17,44,98,14,123.55
Apollo Resort & Spa,2024-03-17,57,174,13,191.23
Nimble Inn,2024-03-17,59,188,13,225.18
Ezmeral Grand Hotel,2024-03-17,71,150,22,145.4
Alletra Boutique Hotel,2024-03-17,51,239,19,140.66
Simplivity Golden Plaza Hotel,2024-03-17,45,166,23,122.6
Cray Villas,2024-03-17,63,146,13,217.82
Apollo Diamond Suites,2024-03-17,58,228,20,222.71
Apollo Towers,2024-03-17,64,242,40,175.56
Alletra Diamond Grand Hotel,2024-03-18,36,113,17,157.35
ProLiant Towers,2024-03-18,31,135,20,120.86
Aruba Luxury Lodge,2024-03-18,34,101,5,98.65
InfoSight Boutique Hotel,2024-03-18,58,132,21,129.08
Primera Grand,2024-03-18,59,264,27,218.49
dHCI Executive Boutique Hotel,2024-03-18,34,123,18,90.03
ProLiant Haven,2024-03-18,51,163,8,163.77
Apollo Executive Beach Resort,2024-03-18,59,133,18,188.32
Aruba Lodge,2024-03-18,37,143,11,90.42
Alletra Haven,2024-03-18,32,100,14,113.53
dHCI Platinum Beach Resort,2024-03-18,35,77,12,90.76
GreenLake Platinum Heritage Inn,2024-03-18,30,122,7,126.68
Pointnext Signature Residences & Suites,2024-03-18,51,197,18,117.56
ProLiant Place,2024-03-18,55,212,35,176.92
Synergy Golden Grand Hotel,2024-03-18,53,147,13,182.83
Alletra Resort,2024-03-18,55,119,17,116.77
GreenLake Digital Business Suites,2024-03-18,45,120,7,166.58
Apollo Resort & Spa,2024-03-18,30,141,7,95.64
Nimble Inn,2024-03-18,34,146,22,148.18
Ezmeral Grand Hotel,2024-03-18,51,177,9,141.48
Alletra Boutique Hotel,2024-03-18,40,162,32,160.59
Simplivity Golden Plaza Hotel,2024-03-18,35,137,8,92.37
Cray Villas,2024-03-18,38,151,11,95.34
Apollo Diamond Suites,2024-03-18,53,250,39,108.2
Apollo Towers,2024-03-18,60,191,35,203.11
Alletra Diamond Grand Hotel,2024-03-19,59,221,43,211.08
ProLiant Towers,2024-03-19,46,124,14,182.07
Aruba Luxury Lodge,2024-03-19,36,105,8,118.24
InfoSight Boutique Hotel,2024-03-19,45,107,19,154.63
Primera Grand,2024-03-19,35,72,8,96.35
dHCI Executive Boutique Hotel,2024-03-19,42,202,34,94.39
ProLiant Haven,2024-03-19,46,117,7,138.79
Apollo Executive Beach Resort,2024-03-19,40,89,15,169.67
Aruba Lodge,2024-03-19,47,98,7,136.44
Alletra Haven,2024-03-19,56,203,23,177.38
dHCI Platinum Beach Resort,2024-03-19,50,229,33,117.96
GreenLake Platinum Heritage Inn,2024-03-19,34,84,8,102.63
Pointnext Signature Residences & Suites,2024-03-19,46,210,18,174.13
ProLiant Place,2024-03-19,53,106,14,141.8
Synergy Golden Grand Hotel,2024-03-19,44,123,13,116.1
Alletra Resort,2024-03-19,31,105,15,91.99
GreenLake Digital Business Suites,2024-03-19,45,222,31,158.6
Apollo Resort & Spa,2024-03-19,50,118,20,141.81
Nimble Inn,2024-03-19,49,181,26,191.23
Ezmeral Grand Hotel,2024-03-19,56,210,28,107.61
Alletra Boutique Hotel,2024-03-19,46,175,19,149.46
Simplivity Golden Plaza Hotel,2024-03-19,46,176,13,100.71
Cray Villas,2024-03-19,30,135,12,110.12
Apollo Diamond Suites,2024-03-19,31,110,8,81.72
Apollo Towers,2024-03-19,48,126,10,153.93
Alletra Diamond Grand Hotel,2024-03-20,44,160,14,96.86
ProLiant Towers,2024-03-20,32,92,5,87.16
Aruba Luxury Lodge,2024-03-20,32,155,17,119.3
InfoSight Boutique Hotel,2024-03-20,52,171,28,146.98
Primera Grand,2024-03-20,45,160,16,136.39
dHCI Executive Boutique Hotel,2024-03-20,33,141,15,87.67
ProLiant Haven,2024-03-20,34,108,12,131.77
Apollo Executive Beach Resort,2024-03-20,49,185,14,187.07
Aruba Lodge,2024-03-20,59,191,33,140.92
Alletra Haven,2024-03-20,53,264,40,189.99
dHCI Platinum Beach Resort,2024-03-20,34,136,18,150.29
GreenLake Platinum Heritage Inn,2024-03-20,60,187,10,150.14
Pointnext Signature Residences & Suites,2024-03-20,60,137,10,156.64
ProLiant Place,2024-03-20,48,116,16,142.31
Synergy Golden Grand Hotel,2024-03-20,30,132,16,111.37
Alletra Resort,2024-03-20,31,91,17,140.87
GreenLake Digital Business Suites,2024-03-20,43,92,15,150.46
Apollo Resort & Spa,2024-03-20,30,91,10,88.38
Nimble Inn,2024-03-20,38,119,7,109.69
Ezmeral Grand Hotel,2024-03-20,47,131,11,127.05
Alletra Boutique Hotel,2024-03-20,30,137,23,98.08
Simplivity Golden Plaza Hotel,2024-03-20,54,138,15,129.87
Cray Villas,2024-03-20,56,228,25,130.96
Apollo Diamond Suites,2024-03-20,37,157,16,140.92
Apollo Towers,2024-03-20,56,250,36,214.23
Alletra Diamond Grand Hotel,2024-03-21,46,93,5,185.66
ProLiant Towers,2024-03-21,60,236,38,118.02
Aruba Luxury Lodge,2024-03-21,33,106,19,89.32
InfoSight Boutique Hotel,2024-03-21,50,202,25,124.09
Primera Grand,2024-03-21,36,80,15,115.04
dHCI Executive Boutique Hotel,2024-03-21,39,80,11,135.47
ProLiant Haven,2024-03-21,41,99,13,96.85
Apollo Executive Beach Resort,2024-03-21,32,139,18,99.94
Aruba Lodge,2024-03-21,50,155,12,155.6
Alletra Haven,2024-03-21,55,148,25,121.01
dHCI Platinum Beach Resort,2024-03-21,55,236,20,122.91
GreenLake Platinum Heritage Inn,2024-03-21,39,194,21,126.4
Pointnext Signature Residences & Suites,2024-03-21,57,175,26,198.68
ProLiant Place,2024-03-21,44,201,16,139.39
Synergy Golden Grand Hotel,2024-03-21,40,112,8,136.49
Alletra Resort,2024-03-21,41,187,15,130.9
GreenLake Digital Business Suites,2024-03-21,50,132,17,121.16
Apollo Resort & Spa,2024-03-21,54,185,25,111.5
Nimble Inn,2024-03-21,36,157,10,149.0
Ezmeral Grand Hotel,2024-03-21,41,194,30,115.0
Alletra Boutique Hotel,2024-03-21,52,235,36,197.13
Simplivity Golden Plaza Hotel,2024-03-21,52,161,18,165.26
Cray Villas,2024-03-21,48,178,17,155.14
Apollo Diamond Suites,2024-03-21,53,187,24,112.81
Apollo Towers,2024-03-21,47,228,15,182.01
Alletra Diamond Grand Hotel,2024-03-22,48,112,16,115.09
ProLiant Towers,2024-03-22,49,185,19,108.86
Aruba Luxury Lodge,2024-03-22,43,178,13,158.73
InfoSight Boutique Hotel,2024-03-22,45,147,25,97.12
Primera Grand,2024-03-22,60,194,27,122.6
dHCI Executive Boutique Hotel,2024-03-22,37,183,36,116.21
ProLiant Haven,2024-03-22,32,152,13,86.99
Apollo Executive Beach Resort,2024-03-22,44,124,17,107.6
Aruba Lodge,2024-03-22,39,122,23,102.44
Alletra Haven,2024-03-22,56,247,18,189.76
dHCI Platinum Beach Resort,2024-03-22,55,205,17,125.66
GreenLake Platinum Heritage Inn,2024-03-22,52,220,13,110.5
Pointnext Signature Residences & Suites,2024-03-22,32,154,23,122.62
ProLiant Place,2024-03-22,52,186,34,194.59
Synergy Golden Grand Hotel,2024-03-22,36,98,19,88.37
Alletra Resort,2024-03-22,40,81,4,132.03
GreenLake Digital Business Suites,2024-03-22,38,149,10,112.33
Apollo Resort & Spa,2024-03-22,47,139,23,156.76
Nimble Inn,2024-03-22,48,118,16,131.57
Ezmeral Grand Hotel,2024-03-22,30,148,29,96.67
Alletra Boutique Hotel,2024-03-22,45,183,36,128.27
Simplivity Golden Plaza Hotel,2024-03-22,35,81,14,134.74
Cray Villas,2024-03-22,36,160,20,101.91
Apollo Diamond Suites,2024-03-22,50,181,14,175.01
Apollo Towers,2024-03-22,41,84,16,154.75
Alletra Diamond Grand Hotel,2024-03-23,64,316,54,224.44
ProLiant Towers,2024-03-23,50,205,24,108.31
Aruba Luxury Lodge,2024-03-23,65,211,20,187.1
InfoSight Boutique Hotel,2024-03-23,66,321,21,150.16
Primera Grand,2024-03-23,49,118,19,112.75
dHCI Executive Boutique Hotel,2024-03-23,61,260,49,145.58
ProLiant Haven,2024-03-23,63,163,21,148.56
Apollo Executive Beach Resort,2024-03-23,51,114,9,124.66
Aruba Lodge,2024-03-23,65,212,18,166.89
Alletra Haven,2024-03-23,51,146,17,192.64
dHCI Platinum Beach Resort,2024-03-23,55,259,30,206.48
GreenLake Platinum Heritage Inn,2024-03-23,71,164,27,215.67
Pointnext Signature Residences & Suites,2024-03-23,61,199,11,185.6
ProLiant Place,2024-03-23,68,199,21,207.12
Synergy Golden Grand Hotel,2024-03-23,70,288,31,208.84
Alletra Resort,2024-03-23,49,114,18,195.99
GreenLake Digital Business Suites,2024-03-23,43,123,24,144.16
Apollo Resort & Spa,2024-03-23,35,138,10,117.08
Nimble Inn,2024-03-23,46,223,22,127.76
Ezmeral Grand Hotel,2024-03-23,62,282,53,172.71
Alletra Boutique Hotel,2024-03-23,40,124,18,107.59
Simplivity Golden Plaza Hotel,2024-03-23,48,221,30,110.46
Cray Villas,2024-03-23,44,145,16,106.71
Apollo Diamond Suites,2024-03-23,54,190,19,187.78
Apollo Towers,2024-03-23,73,346,55,197.12
Alletra Diamond Grand Hotel,2024-03-24,40,167,31,149.69
ProLiant Towers,2024-03-24,61,137,7,176.67
Aruba Luxury Lodge,2024-03-24,57,151,9,162.97
InfoSight Boutique Hotel,2024-03-24,62,295,41,210.35
Primera Grand,2024-03-24,55,230,38,189.11
dHCI Executive Boutique Hotel,2024-03-24,46,142,28,150.18
ProLiant Haven,2024-03-24,47,180,11,187.73
Apollo Executive Beach Resort,2024-03-24,41,105,18,120.2
Aruba Lodge,2024-03-24,56,260,28,186.94
Alletra Haven,2024-03-24,71,268,46,169.68
dHCI Platinum Beach Resort,2024-03-24,46,184,10,136.87
GreenLake Platinum Heritage Inn,2024-03-24,62,249,37,122.16
Pointnext Signature Residences & Suites,2024-03-24,41,126,10,159.41
ProLiant Place,2024-03-24,56,248,15,117.01
Synergy Golden Grand Hotel,2024-03-24,51,233,15,119.84
Alletra Resort,2024-03-24,42,205,33,127.58
GreenLake Digital Business Suites,2024-03-24,60,220,16,114.64
Apollo Resort & Spa,2024-03-24,67,216,33,202.27
Nimble Inn,2024-03-24,65,312,22,129.19
Ezmeral Grand Hotel,2024-03-24,36,165,32,86.28
Alletra Boutique Hotel,2024-03-24,47,191,21,182.76
Simplivity Golden Plaza Hotel,2024-03-24,47,202,36,99.18
Cray Villas,2024-03-24,46,98,10,176.53
Apollo Diamond Suites,2024-03-24,45,113,11,95.22
Apollo Towers,2024-03-24,40,102,14,142.21
Alletra Diamond Grand Hotel,2024-03-25,37,149,16,101.64
ProLiant Towers,2024-03-25,35,113,10,138.81
Aruba Luxury Lodge,2024-03-25,44,152,15,134.89
InfoSight Boutique Hotel,2024-03-25,58,188,26,148.31
Primera Grand,2024-03-25,59,131,14,192.75
dHCI Executive Boutique Hotel,2024-03-25,31,137,23,123.62
ProLiant Haven,2024-03-25,43,191,23,98.42
Apollo Executive Beach Resort,2024-03-25,39,148,14,149.42
Aruba Lodge,2024-03-25,39,164,18,115.57
Alletra Haven,2024-03-25,33,160,17,97.02
dHCI Platinum Beach Resort,2024-03-25,54,198,33,140.58
GreenLake Platinum Heritage Inn,2024-03-25,57,199,12,131.16
Pointnext Signature Residences & Suites,2024-03-25,30,121,13,101.78
ProLiant Place,2024-03-25,41,183,13,168.98
Synergy Golden Grand Hotel,2024-03-25,55,263,50,136.06
Alletra Resort,2024-03-25,57,142,14,174.37
GreenLake Digital Business Suites,2024-03-25,50,204,20,184.76
Apollo Resort & Spa,2024-03-25,37,91,13,106.05
Nimble Inn,2024-03-25,47,202,32,190.61
Ezmeral Grand Hotel,2024-03-25,55,158,13,201.06
Alletra Boutique Hotel,2024-03-25,57,123,16,114.22
Simplivity Golden Plaza Hotel,2024-03-25,37,184,9,143.45
Cray Villas,2024-03-25,31,129,19,104.43
Apollo Diamond Suites,2024-03-25,55,216,36,174.75
Apollo Towers,2024-03-25,51,213,20,196.77
Alletra Diamond Grand Hotel,2024-03-26,55,169,24,211.77
ProLiant Towers,2024-03-26,50,213,10,130.83
Aruba Luxury Lodge,2024-03-26,53,129,12,130.02
InfoSight Boutique Hotel,2024-03-26,45,109,6,157.8
Primera Grand,2024-03-26,55,124,19,199.82
dHCI Executive Boutique Hotel,2024-03-26,41,114,21,108.61
ProLiant Haven,2024-03-26,38,91,14,111.63
Apollo Executive Beach Resort,2024-03-26,33,104,6,142.19
Aruba Lodge,2024-03-26,43,92,15,170.47
Alletra Haven,2024-03-26,43,197,38,113.6
dHCI Platinum Beach Resort,2024-03-26,47,97,14,145.09
GreenLake Platinum Heritage Inn,2024-03-26,46,146,14,171.71
Pointnext Signature Residences & Suites,2024-03-26,32,146,22,126.48
ProLiant Place,2024-03-26,48,232,39,170.54
Synergy Golden Grand Hotel,2024-03-26,53,247,45,203.54
Alletra Resort,2024-03-26,47,160,18,170.75
GreenLake Digital Business Suites,2024-03-26,52,134,23,197.65
Apollo Resort & Spa,2024-03-26,41,159,27,149.17
Nimble Inn,2024-03-26,40,178,26,141.79
Ezmeral Grand Hotel,2024-03-26,40,94,6,108.3
Alletra Boutique Hotel,2024-03-26,41,191,37,158.72
Simplivity Golden Plaza Hotel,2024-03-26,38,165,10,99.23
Cray Villas,2024-03-26,55,137,24,181.07
Apollo Diamond Suites,2024-03-26,37,113,11,95.9
Apollo Towers,2024-03-26,38,101,9,148.08
Alletra Diamond Grand Hotel,2024-03-27,32,146,9,128.17
ProLiant Towers,2024-03-27,34,83,12,119.43
Aruba Luxury Lodge,2024-03-27,51,182,13,194.32
InfoSight Boutique Hotel,2024-03-27,51,178,18,190.39
Primera Grand,2024-03-27,48,205,22,165.19
dHCI Executive Boutique Hotel,2024-03-27,60,171,8,220.17
ProLiant Haven,2024-03-27,37,173,14,115.51
Apollo Executive Beach Resort,2024-03-27,48,225,19,103.69
Aruba Lodge,2024-03-27,46,97,5,134.09
Alletra Haven,2024-03-27,51,167,33,144.53
dHCI Platinum Beach Resort,2024-03-27,38,136,26,150.9
GreenLake Platinum Heritage Inn,2024-03-27,60,266,15,214.43
