hotel_nombre,consumo_energia_kwh,residuos_generados_kg,porcentaje_reciclaje,uso_agua_m3,fecha
Simplivity Golden Plaza Hotel,1893,1473,64.1,4006,2023-08-04
Cray Villas,2918,1528,54.9,3346,2023-08-04
Apollo Diamond Suites,2834,1274,89.9,4390,2023-08-04
Apollo Towers,2786,1531,68.9,3547,2023-08-04
Alletra Diamond Grand Hotel,2541,1120,90.0,3431,2023-08-05
ProLiant Towers,2199,1875,90.2,4946,2023-08-05
Aruba Luxury Lodge,1370,1818,80.0,4668,2023-08-05
InfoSight Boutique Hotel,2135,1226,81.2,4451,2023-08-05
Primera Grand,3080,1175,60.8,4731,2023-08-05
dHCI Executive Boutique Hotel,1593,1300,83.1,4601,2023-08-05
ProLiant Haven,1896,1285,83.3,4637,2023-08-05
Apollo Executive Beach Resort,1616,1696,64.5,3716,2023-08-05
Aruba Lodge,2997,1311,51.5,3916,2023-08-05
Alletra Haven,1816,1511,59.2,4161,2023-08-05
dHCI Platinum Beach Resort,1896,1385,90.7,4443,2023-08-05
GreenLake Platinum Heritage Inn,2241,1646,53.0,4709,2023-08-05
Pointnext Signature Residences & Suites,2042,1829,77.1,4155,2023-08-05
ProLiant Place,3012,1393,87.0,3821,2023-08-05
Synergy Golden Grand Hotel,1943,1419,68.7,4344,2023-08-05
Alletra Resort,1071,1874,69.1,3001,2023-08-05
GreenLake Digital Business Suites,1598,1863,58.6,4399,2023-08-05
Apollo Resort & Spa,3089,1407,51.4,3651,2023-08-05
Nimble Inn,3561,1526,93.4,4486,2023-08-05
Ezmeral Grand Hotel,1205,1942,69.5,3142,2023-08-05
Alletra Boutique Hotel,2412,1003,53.7,3236,2023-08-05
Simplivity Golden Plaza Hotel,2640,1634,72.6,4843,2023-08-05
Cray Villas,2721,1052,92.5,3031,2023-08-05
Apollo Diamond Suites,1909,1888,58.5,4230,2023-08-05
Apollo Towers,1892,1152,88.4,3709,2023-08-05
Alletra Diamond Grand Hotel,2120,1720,56.8,3233,2023-08-06
ProLiant Towers,1272,1547,87.0,3209,2023-08-06
Aruba Luxury Lodge,3279,1614,91.0,4263,2023-08-06
InfoSight Boutique Hotel,3624,1644,90.8,3312,2023-08-06
Primera Grand,2879,1075,59.2,3834,2023-08-06
dHCI Executive Boutique Hotel,3081,1871,55.7,4852,2023-08-06
ProLiant Haven,3600,1824,83.6,3215,2023-08-06
Apollo Executive Beach Resort,2327,1271,51.0,4884,2023-08-06
Aruba Lodge,3348,1918,63.3,3692,2023-08-06
Alletra Haven,3749,1672,88.9,4381,2023-08-06
dHCI Platinum Beach Resort,2931,1687,69.1,3232,2023-08-06
GreenLake Platinum Heritage Inn,2741,1321,86.9,3251,2023-08-06
Pointnext Signature Residences & Suites,2060,1579,79.3,3285,2023-08-06
ProLiant Place,3465,1839,61.7,4480,2023-08-06
Synergy Golden Grand Hotel,2202,1478,79.3,4731,2023-08-06
Alletra Resort,2454,1981,86.2,3326,2023-08-06
GreenLake Digital Business Suites,2014,1830,66.4,4596,2023-08-06
Apollo Resort & Spa,2217,1497,53.8,3637,2023-08-06
Nimble Inn,1434,1294,68.1,3814,2023-08-06
Ezmeral Grand Hotel,2940,1689,81.3,3003,2023-08-06
Alletra Boutique Hotel,3522,1924,90.7,4459,2023-08-06
Simplivity Golden Plaza Hotel,3241,1912,77.2,3092,2023-08-06
Cray Villas,2237,1669,56.9,3311,2023-08-06
Apollo Diamond Suites,3318,1925,83.9,4814,2023-08-06
Apollo Towers,2222,1859,63.1,3750,2023-08-06
Alletra Diamond Grand Hotel,1689,1817,93.1,4168,2023-08-07
ProLiant Towers,2258,1401,91.0,4643,2023-08-07
Aruba Luxury Lodge,2238,1297,57.3,4321,2023-08-07
InfoSight Boutique Hotel,1828,1527,90.9,4935,2023-08-07
Primera Grand,2218,1062,83.2,4886,2023-08-07
dHCI Executive Boutique Hotel,2791,1157,84.1,4836,2023-08-07
ProLiant Haven,1476,1292,84.0,4371,2023-08-07
Apollo Executive Beach Resort,2997,1636,76.3,4569,2023-08-07
Aruba Lodge,1189,1843,85.2,4349,2023-08-07
Alletra Haven,2731,1668,83.6,3217,2023-08-07
dHCI Platinum Beach Resort,2115,1791,83.2,4597,2023-08-07
GreenLake Platinum Heritage Inn,3900,1269,64.6,3123,2023-08-07
Pointnext Signature Residences & Suites,2170,1811,66.0,3913,2023-08-07
ProLiant Place,2609,1831,86.6,3390,2023-08-07
Synergy Golden Grand Hotel,2660,1726,93.4,3571,2023-08-07
Alletra Resort,3181,1393,75.0,3907,2023-08-07
GreenLake Digital Business Suites,2812,1864,79.1,3814,2023-08-07
Apollo Resort & Spa,2539,1284,67.5,4693,2023-08-07
Nimble Inn,2134,2000,83.2,4785,2023-08-07
Ezmeral Grand Hotel,3360,1904,87.2,3549,2023-08-07
Alletra Boutique Hotel,1246,1507,83.8,4070,2023-08-07
Simplivity Golden Plaza Hotel,3921,1175,58.0,4868,2023-08-07
Cray Villas,1724,1942,88.6,4305,2023-08-07
Apollo Diamond Suites,3009,1834,88.1,3607,2023-08-07
Apollo Towers,1413,1399,66.3,3639,2023-08-07
Alletra Diamond Grand Hotel,3647,1981,92.7,3028,2023-08-08
ProLiant Towers,1189,1106,91.6,4703,2023-08-08
Aruba Luxury Lodge,2239,1790,58.1,4607,2023-08-08
InfoSight Boutique Hotel,2241,1403,85.3,3384,2023-08-08
Primera Grand,3311,1398,69.0,3159,2023-08-08
dHCI Executive Boutique Hotel,3076,1386,75.8,3065,2023-08-08
ProLiant Haven,2575,1695,80.7,4608,2023-08-08
Apollo Executive Beach Resort,3815,1576,83.1,4563,2023-08-08
Aruba Lodge,2678,1021,54.7,4322,2023-08-08
Alletra Haven,3328,1820,68.9,3002,2023-08-08
dHCI Platinum Beach Resort,1622,1111,65.5,4259,2023-08-08
GreenLake Platinum Heritage Inn,3442,1466,87.0,3134,2023-08-08
Pointnext Signature Residences & Suites,2855,1779,89.4,4028,2023-08-08
ProLiant Place,1468,1649,72.5,4152,2023-08-08
Synergy Golden Grand Hotel,2842,1286,94.9,3445,2023-08-08
Alletra Resort,1499,1455,76.3,3617,2023-08-08
GreenLake Digital Business Suites,2792,1429,85.7,3265,2023-08-08
Apollo Resort & Spa,3532,1288,62.9,3011,2023-08-08
Nimble Inn,3427,1426,87.1,3625,2023-08-08
Ezmeral Grand Hotel,3996,1098,62.5,4645,2023-08-08
Alletra Boutique Hotel,2066,1059,64.8,4406,2023-08-08
Simplivity Golden Plaza Hotel,1583,1324,81.4,3271,2023-08-08
Cray Villas,2868,1635,68.4,4502,2023-08-08
Apollo Diamond Suites,3469,1814,92.1,4948,2023-08-08
Apollo Towers,1716,1137,60.8,3377,2023-08-08
Alletra Diamond Grand Hotel,1324,1904,66.9,3453,2023-08-09
ProLiant Towers,2641,1411,76.0,3912,2023-08-09
Aruba Luxury Lodge,1164,1936,94.2,3335,2023-08-09
InfoSight Boutique Hotel,1637,1537,68.8,4275,2023-08-09
Primera Grand,1833,1258,52.0,4182,2023-08-09
dHCI Executive Boutique Hotel,1863,1097,87.4,3907,2023-08-09
ProLiant Haven,3441,1307,61.0,4578,2023-08-09
Apollo Executive Beach Resort,2955,1981,88.8,4163,2023-08-09
Aruba Lodge,2590,1858,80.9,3516,2023-08-09
Alletra Haven,3044,1053,90.9,4741,2023-08-09
dHCI Platinum Beach Resort,3001,1420,72.5,3810,2023-08-09
GreenLake Platinum Heritage Inn,1363,1435,89.4,3129,2023-08-09
Pointnext Signature Residences & Suites,1021,1629,88.6,4451,2023-08-09
ProLiant Place,2786,1736,77.2,3492,2023-08-09
Synergy Golden Grand Hotel,2825,1087,51.6,4794,2023-08-09
Alletra Resort,2036,1520,70.7,4254,2023-08-09
GreenLake Digital Business Suites,2425,1381,59.5,4550,2023-08-09
Apollo Resort & Spa,3434,1698,60.5,3492,2023-08-09
Nimble Inn,3073,1793,50.9,3837,2023-08-09
Ezmeral Grand Hotel,1317,1319,90.7,3713,2023-08-09
Alletra Boutique Hotel,1387,1607,85.0,4840,2023-08-09
Simplivity Golden Plaza Hotel,2836,1546,75.1,4070,2023-08-09
Cray Villas,2131,1257,63.5,4056,2023-08-09
Apollo Diamond Suites,2919,1798,55.7,3821,2023-08-09
Apollo Towers,3601,1696,60.5,3516,2023-08-09
Alletra Diamond Grand Hotel,2665,1724,81.0,3787,2023-08-10
ProLiant Towers,3256,1361,75.7,4459,2023-08-10
Aruba Luxury Lodge,2315,1489,81.5,3375,2023-08-10
InfoSight Boutique Hotel,1846,1116,61.6,3286,2023-08-10
Primera Grand,3513,1097,72.5,3446,2023-08-10
dHCI Executive Boutique Hotel,2735,1299,55.8,3232,2023-08-10
ProLiant Haven,1715,1496,89.7,4121,2023-08-10
Apollo Executive Beach Resort,2338,1552,61.0,3010,2023-08-10
Aruba Lodge,3446,1013,78.0,4951,2023-08-10
Alletra Haven,1012,1868,56.4,4092,2023-08-10
dHCI Platinum Beach Resort,3761,1257,79.0,4796,2023-08-10
GreenLake Platinum Heritage Inn,3891,1406,67.6,3881,2023-08-10
Pointnext Signature Residences & Suites,3419,1454,73.0,4493,2023-08-10
ProLiant Place,1262,1931,57.5,4939,2023-08-10
Synergy Golden Grand Hotel,2032,1873,82.4,3050,2023-08-10
Alletra Resort,1617,1913,78.0,3401,2023-08-10
GreenLake Digital Business Suites,3230,1326,75.2,3942,2023-08-10
Apollo Resort & Spa,1107,1002,73.1,4626,2023-08-10
Nimble Inn,3552,1529,50.3,3683,2023-08-10
Ezmeral Grand Hotel,1183,1024,85.8,3339,2023-08-10
Alletra Boutique Hotel,2573,1253,87.6,3137,2023-08-10
Simplivity Golden Plaza Hotel,2817,1583,51.5,4527,2023-08-10
Cray Villas,2852,1901,88.2,4892,2023-08-10
Apollo Diamond Suites,3587,1870,72.3,3295,2023-08-10
Apollo Towers,2671,1276,58.5,3417,2023-08-10
Alletra Diamond Grand Hotel,2329,1398,81.0,3591,2023-08-11
ProLiant Towers,3610,1519,53.5,4846,2023-08-11
Aruba Luxury Lodge,3802,1555,83.6,3659,2023-08-11
InfoSight Boutique Hotel,1319,1686,86.5,3716,2023-08-11
Primera Grand,1760,1160,91.9,4260,2023-08-11
dHCI Executive Boutique Hotel,3812,1293,88.4,4044,2023-08-11
ProLiant Haven,3011,1209,93.4,4527,2023-08-11
Apollo Executive Beach Resort,3247,1996,88.9,4117,2023-08-11
Aruba Lodge,1784,1537,70.8,4747,2023-08-11
Alletra Haven,2870,1909,75.8,3590,2023-08-11
dHCI Platinum Beach Resort,2884,1008,73.3,4161,2023-08-11
GreenLake Platinum Heritage Inn,1119,1414,71.1,4965,2023-08-11
Pointnext Signature Residences & Suites,2806,1978,79.0,4020,2023-08-11
ProLiant Place,2945,1823,66.3,4074,2023-08-11
Synergy Golden Grand Hotel,2569,1559,87.1,3548,2023-08-11
Alletra Resort,1014,1065,60.1,3341,2023-08-11
GreenLake Digital Business Suites,2804,1624,78.0,3083,2023-08-11
Apollo Resort & Spa,2074,1482,58.2,3896,2023-08-11
Nimble Inn,1875,1257,64.9,3920,2023-08-11
Ezmeral Grand Hotel,2969,1469,92.2,3355,2023-08-11
Alletra Boutique Hotel,3630,1759,54.8,4060,2023-08-11
Simplivity Golden Plaza Hotel,2490,1866,76.9,3163,2023-08-11
Cray Villas,2340,1262,93.5,3348,2023-08-11
Apollo Diamond Suites,1410,1282,94.7,4781,2023-08-11
Apollo Towers,1561,1771,60.7,4235,2023-08-11
Alletra Diamond Grand Hotel,2003,1117,75.4,3981,2023-08-12
ProLiant Towers,2246,1460,68.1,4546,2023-08-12
Aruba Luxury Lodge,1552,1665,83.3,4746,2023-08-12
InfoSight Boutique Hotel,2727,1292,70.4,4082,2023-08-12
Primera Grand,3782,1631,85.8,3635,2023-08-12
dHCI Executive Boutique Hotel,3713,1132,69.4,4418,2023-08-12
ProLiant Haven,2023,1908,86.6,4128,2023-08-12
Apollo Executive Beach Resort,1319,1071,89.5,3742,2023-08-12
Aruba Lodge,2616,1370,91.9,3380,2023-08-12
Alletra Haven,3111,1366,92.0,3046,2023-08-12
dHCI Platinum Beach Resort,2421,1698,92.8,3420,2023-08-12
GreenLake Platinum Heritage Inn,1739,1205,52.8,4310,2023-08-12
Pointnext Signature Residences & Suites,3367,1847,91.5,3884,2023-08-12
ProLiant Place,2879,1999,77.7,4499,2023-08-12
Synergy Golden Grand Hotel,1424,1583,55.8,4670,2023-08-12
Alletra Resort,1755,1873,79.8,4998,2023-08-12
GreenLake Digital Business Suites,3943,1083,52.2,4490,2023-08-12
Apollo Resort & Spa,3606,1425,82.0,3395,2023-08-12
Nimble Inn,1368,1563,66.5,3591,2023-08-12
Ezmeral Grand Hotel,3205,1661,56.9,4834,2023-08-12
Alletra Boutique Hotel,1271,1433,73.7,3053,2023-08-12
Simplivity Golden Plaza Hotel,3651,1289,67.0,4564,2023-08-12
Cray Villas,1271,1357,69.5,4908,2023-08-12
Apollo Diamond Suites,1253,1616,68.2,3687,2023-08-12
Apollo Towers,3369,1858,58.6,3002,2023-08-12
Alletra Diamond Grand Hotel,2518,1641,81.0,3785,2023-08-13
ProLiant Towers,1273,1603,74.2,3657,2023-08-13
Aruba Luxury Lodge,2506,1562,89.3,3728,2023-08-13
InfoSight Boutique Hotel,3724,1669,94.0,4467,2023-08-13
Primera Grand,2025,1261,89.2,4195,2023-08-13
dHCI Executive Boutique Hotel,1209,1417,87.8,4650,2023-08-13
ProLiant Haven,3597,1036,80.7,3980,2023-08-13
Apollo Executive Beach Resort,3781,1374,54.3,4028,2023-08-13
Aruba Lodge,1580,1463,90.7,4648,2023-08-13
Alletra Haven,2840,1197,78.1,4396,2023-08-13
dHCI Platinum Beach Resort,3658,1952,86.4,3291,2023-08-13
GreenLake Platinum Heritage Inn,3582,1008,94.4,4765,2023-08-13
Pointnext Signature Residences & Suites,1876,1114,81.9,3225,2023-08-13
ProLiant Place,2305,1114,62.2,4273,2023-08-13
Synergy Golden Grand Hotel,3309,1040,71.7,4596,2023-08-13
Alletra Resort,3970,1292,94.1,4558,2023-08-13
GreenLake Digital Business Suites,2580,1630,85.8,3575,2023-08-13
Apollo Resort & Spa,3670,1471,89.6,3401,2023-08-13
Nimble Inn,1998,1793,80.1,4937,2023-08-13
Ezmeral Grand Hotel,3955,1777,68.7,3040,2023-08-13
Alletra Boutique Hotel,1045,1568,81.8,4049,2023-08-13
Simplivity Golden Plaza Hotel,2391,1965,60.7,3675,2023-08-13
Cray Villas,3493,1682,61.5,3507,2023-08-13
Apollo Diamond Suites,1673,1363,91.7,4323,2023-08-13
Apollo Towers,3847,1373,92.8,4629,2023-08-13
Alletra Diamond Grand Hotel,2546,1269,65.6,4844,2023-08-14
ProLiant Towers,3252,1017,77.2,3298,2023-08-14
Aruba Luxury Lodge,3689,1692,70.0,4933,2023-08-14
InfoSight Boutique Hotel,1739,1159,61.2,3542,2023-08-14
Primera Grand,2940,1482,81.9,3627,2023-08-14
dHCI Executive Boutique Hotel,2440,1327,79.2,3340,2023-08-14
ProLiant Haven,2741,1033,53.0,4648,2023-08-14
Apollo Executive Beach Resort,3807,1868,71.3,3431,2023-08-14
Aruba Lodge,3607,1282,65.6,3469,2023-08-14
Alletra Haven,3551,1617,58.2,3963,2023-08-14
dHCI Platinum Beach Resort,1341,1096,90.0,3399,2023-08-14
GreenLake Platinum Heritage Inn,2990,1420,63.0,3920,2023-08-14
Pointnext Signature Residences & Suites,2787,1251,80.8,4891,2023-08-14
ProLiant Place,2742,1622,82.0,3123,2023-08-14
Synergy Golden Grand Hotel,3673,1998,72.8,3740,2023-08-14
Alletra Resort,1570,1020,74.3,4561,2023-08-14
GreenLake Digital Business Suites,2214,1654,94.0,3318,2023-08-14
Apollo Resort & Spa,1768,1640,55.5,3664,2023-08-14
Nimble Inn,1448,1028,89.0,4605,2023-08-14
Ezmeral Grand Hotel,2124,1224,50.5,3516,2023-08-14
Alletra Boutique Hotel,1815,1992,82.4,4457,2023-08-14
Simplivity Golden Plaza Hotel,1495,1191,81.4,3342,2023-08-14
Cray Villas,3317,1288,82.5,4229,2023-08-14
Apollo Diamond Suites,1817,1292,90.7,4783,2023-08-14
Apollo Towers,2723,1869,53.4,3558,2023-08-14
Alletra Diamond Grand Hotel,3970,1782,71.0,3276,2023-08-15
ProLiant Towers,3263,1767,90.0,3127,2023-08-15
Aruba Luxury Lodge,3431,1658,60.9,4653,2023-08-15
InfoSight Boutique Hotel,2994,1917,65.9,3009,2023-08-15
Primera Grand,3074,1158,54.4,4471,2023-08-15
dHCI Executive Boutique Hotel,2282,1327,83.3,3052,2023-08-15
ProLiant Haven,1692,1184,71.3,4319,2023-08-15
Apollo Executive Beach Resort,3831,1211,62.8,4974,2023-08-15
Aruba Lodge,2569,1000,77.5,3132,2023-08-15
Alletra Haven,3647,1394,63.6,3275,2023-08-15
dHCI Platinum Beach Resort,3333,1304,51.4,4988,2023-08-15
GreenLake Platinum Heritage Inn,2930,1265,76.6,3060,2023-08-15
Pointnext Signature Residences & Suites,2026,1572,56.4,3919,2023-08-15
ProLiant Place,2280,1676,69.0,4429,2023-08-15
Synergy Golden Grand Hotel,2626,1177,64.7,3714,2023-08-15
Alletra Resort,2387,1771,84.7,4505,2023-08-15
GreenLake Digital Business Suites,1103,1750,64.3,4448,2023-08-15
Apollo Resort & Spa,1316,1438,88.5,3442,2023-08-15
Nimble Inn,2314,1169,60.7,3444,2023-08-15
Ezmeral Grand Hotel,2088,1631,74.8,3639,2023-08-15
Alletra Boutique Hotel,3589,1096,74.9,4771,2023-08-15
Simplivity Golden Plaza Hotel,2452,1360,51.6,3832,2023-08-15
Cray Villas,3574,1291,86.6,4056,2023-08-15
Apollo Diamond Suites,3928,1094,68.8,3018,2023-08-15
Apollo Towers,1678,1440,60.9,3847,2023-08-15
Alletra Diamond Grand Hotel,3887,1217,62.4,4012,2023-08-16
ProLiant Towers,2073,1360,57.9,4074,2023-08-16
Aruba Luxury Lodge,3308,1955,72.0,4253,2023-08-16
InfoSight Boutique Hotel,2265,1335,76.9,4975,2023-08-16
Primera Grand,3819,1908,76.3,3397,2023-08-16
dHCI Executive Boutique Hotel,1174,1011,65.8,4972,2023-08-16
ProLiant Haven,2185,1726,80.5,4846,2023-08-16
Apollo Executive Beach Resort,2856,1929,87.1,4515,2023-08-16
Aruba Lodge,2965,1545,62.1,3267,2023-08-16
Alletra Haven,2539,1193,54.4,3421,2023-08-16
dHCI Platinum Beach Resort,2056,1627,90.9,3349,2023-08-16
GreenLake Platinum Heritage Inn,2554,1090,51.8,4287,2023-08-16
Pointnext Signature Residences & Suites,2462,1158,54.7,3809,2023-08-16
ProLiant Place,1907,1147,89.5,4427,2023-08-16
Synergy Golden Grand Hotel,3323,1384,65.0,3944,2023-08-16
Alletra Resort,1063,1068,83.3,4125,2023-08-16
GreenLake Digital Business Suites,2100,1257,71.5,4621,2023-08-16
Apollo Resort & Spa,3267,1255,58.1,4449,2023-08-16
Nimble Inn,3488,1633,61.5,4613,2023-08-16
Ezmeral Grand Hotel,2063,1353,88.2,3435,2023-08-16
Alletra Boutique Hotel,2406,1538,75.2,4416,2023-08-16
Simplivity Golden Plaza Hotel,3728,1897,69.2,3612,2023-08-16
Cray Villas,1269,1529,91.2,3773,2023-08-16
Apollo Diamond Suites,2696,1745,73.6,3457,2023-08-16
Apollo Towers,3944,1294,72.0,3631,2023-08-16
Alletra Diamond Grand Hotel,3803,1703,89.2,3108,2023-08-17
ProLiant Towers,1702,1712,80.4,3341,2023-08-17
Aruba Luxury Lodge,3268,1029,86.7,3762,2023-08-17
InfoSight Boutique Hotel,2413,1120,62.5,3867,2023-08-17
Primera Grand,2643,1897,92.3,3502,2023-08-17
dHCI Executive Boutique Hotel,3041,1399,80.1,4420,2023-08-17
ProLiant Haven,3625,1641,74.4,3291,2023-08-17
Apollo Executive Beach Resort,3312,1651,66.1,3263,2023-08-17
Aruba Lodge,3460,1165,88.5,3137,2023-08-17
Alletra Haven,3425,1148,66.3,3439,2023-08-17
dHCI Platinum Beach Resort,3763,1353,51.3,4567,2023-08-17
GreenLake Platinum Heritage Inn,2558,1461,89.5,4606,2023-08-17
Pointnext Signature Residences & Suites,2463,1487,62.2,4122,2023-08-17
ProLiant Place,2107,1420,66.0,3763,2023-08-17
Synergy Golden Grand Hotel,1902,1218,88.3,4728,2023-08-17
Alletra Resort,1804,1136,88.8,4880,2023-08-17
GreenLake Digital Business Suites,3618,1771,89.1,3565,2023-08-17
Apollo Resort & Spa,2357,1580,56.7,4565,2023-08-17
Nimble Inn,3901,1648,76.5,3393,2023-08-17
Ezmeral Grand Hotel,2224,1467,56.8,3513,2023-08-17
Alletra Boutique Hotel,3321,1097,81.4,4734,2023-08-17
Simplivity Golden Plaza Hotel,3541,1847,78.6,3884,2023-08-17
Cray Villas,1898,1761,71.2,4589,2023-08-17
Apollo Diamond Suites,1570,1134,93.6,4909,2023-08-17
Apollo Towers,2027,1047,76.1,3034,2023-08-17
Alletra Diamond Grand Hotel,1762,1869,79.8,4206,2023-08-18
ProLiant Towers,2849,1958,54.3,3916,2023-08-18
Aruba Luxury Lodge,1881,1916,58.6,3552,2023-08-18
InfoSight Boutique Hotel,2806,1578,54.3,3989,2023-08-18
Primera Grand,2879,1425,65.7,4413,2023-08-18
dHCI Executive Boutique Hotel,2215,1161,59.6,3976,2023-08-18
ProLiant Haven,2814,1059,63.6,3623,2023-08-18
Apollo Executive Beach Resort,2469,1599,83.6,4409,2023-08-18
Aruba Lodge,3028,1866,62.2,4572,2023-08-18
Alletra Haven,1605,1698,63.9,3453,2023-08-18
dHCI Platinum Beach Resort,1557,1948,89.4,4153,2023-08-18
GreenLake Platinum Heritage Inn,3927,1796,74.1,4391,2023-08-18
Pointnext Signature Residences & Suites,1629,1427,67.8,3205,2023-08-18
ProLiant Place,2302,1078,77.3,3442,2023-08-18
Synergy Golden Grand Hotel,2472,1040,79.6,4247,2023-08-18
Alletra Resort,1884,1247,57.3,4992,2023-08-18
GreenLake Digital Business Suites,3542,1224,80.7,4547,2023-08-18
Apollo Resort & Spa,2932,1408,92.9,3535,2023-08-18
Nimble Inn,1311,1457,64.2,4506,2023-08-18
Ezmeral Grand Hotel,3958,1169,76.0,4113,2023-08-18
Alletra Boutique Hotel,2406,1737,89.8,4488,2023-08-18
Simplivity Golden Plaza Hotel,1497,1606,88.6,4627,2023-08-18
Cray Villas,3862,1878,70.8,3990,2023-08-18
Apollo Diamond Suites,1370,1533,78.1,4890,2023-08-18
Apollo Towers,1588,1631,61.6,3481,2023-08-18
Alletra Diamond Grand Hotel,2432,1954,50.6,3127,2023-08-19
ProLiant Towers,1149,1400,93.6,4291,2023-08-19
Aruba Luxury Lodge,1051,1964,83.2,3102,2023-08-19
InfoSight Boutique Hotel,3686,1526,93.3,4501,2023-08-19
Primera Grand,3280,1269,68.5,4603,2023-08-19
dHCI Executive Boutique Hotel,3250,1680,65.4,4319,2023-08-19
ProLiant Haven,1221,1777,53.8,3470,2023-08-19
Apollo Executive Beach Resort,2644,1610,77.5,3902,2023-08-19
Aruba Lodge,2208,1007,85.3,3560,2023-08-19
Alletra Haven,3289,1277,83.6,3529,2023-08-19
dHCI Platinum Beach Resort,1150,1588,71.5,3221,2023-08-19
GreenLake Platinum Heritage Inn,1250,1247,94.9,3207,2023-08-19
Pointnext Signature Residences & Suites,1044,1781,93.3,3933,2023-08-19
ProLiant Place,3587,1406,76.3,3667,2023-08-19
Synergy Golden Grand Hotel,3876,1613,74.5,4373,2023-08-19
Alletra Resort,3580,1691,88.6,4129,2023-08-19
GreenLake Digital Business Suites,1820,1699,78.7,3805,2023-08-19
Apollo Resort & Spa,1707,1725,78.0,3192,2023-08-19
Nimble Inn,3391,1242,87.6,3214,2023-08-19
Ezmeral Grand Hotel,1979,1663,89.8,3085,2023-08-19
Alletra Boutique Hotel,2845,1679,61.6,3615,2023-08-19
Simplivity Golden Plaza Hotel,1385,1070,79.6,4291,2023-08-19
Cray Villas,2737,1856,57.3,4980,2023-08-19
Apollo Diamond Suites,2210,1782,57.8,3086,2023-08-19
Apollo Towers,3357,1881,61.1,3563,2023-08-19
Alletra Diamond Grand Hotel,3784,1342,57.3,3039,2023-08-20
ProLiant Towers,3144,1413,58.0,3923,2023-08-20
Aruba Luxury Lodge,3195,1611,65.4,3200,2023-08-20
InfoSight Boutique Hotel,1295,1138,62.1,3070,2023-08-20
Primera Grand,2910,1358,74.3,3366,2023-08-20
dHCI Executive Boutique Hotel,1808,1279,83.2,4771,2023-08-20
ProLiant Haven,1683,1918,75.4,4835,2023-08-20
Apollo Executive Beach Resort,2050,1530,50.8,4216,2023-08-20
Aruba Lodge,1058,1224,86.5,3795,2023-08-20
Alletra Haven,1124,1412,82.6,3731,2023-08-20
dHCI Platinum Beach Resort,2036,1925,77.1,3240,2023-08-20
GreenLake Platinum Heritage Inn,1241,1418,68.0,3542,2023-08-20
Pointnext Signature Residences & Suites,2784,1702,93.4,3866,2023-08-20
ProLiant Place,1264,1388,77.3,4997,2023-08-20
Synergy Golden Grand Hotel,2522,1020,92.7,4421,2023-08-20
Alletra Resort,3009,1512,77.7,3622,2023-08-20
GreenLake Digital Business Suites,2316,1935,79.6,3314,2023-08-20
Apollo Resort & Spa,2077,1781,86.2,3706,2023-08-20
Nimble Inn,2327,1188,50.3,4507,2023-08-20
Ezmeral Grand Hotel,2110,1295,71.1,4106,2023-08-20
Alletra Boutique Hotel,3776,1271,93.7,3725,2023-08-20
Simplivity Golden Plaza Hotel,2991,1659,59.3,3200,2023-08-20
Cray Villas,1669,1181,52.7,3922,2023-08-20
Apollo Diamond Suites,1053,1109,61.7,4665,2023-08-20
Apollo Towers,3358,1321,88.6,3855,2023-08-20
Alletra Diamond Grand Hotel,3798,1091,75.4,3304,2023-08-21
ProLiant Towers,3147,1093,76.8,4035,2023-08-21
Aruba Luxury Lodge,3884,1903,58.9,3224,2023-08-21
InfoSight Boutique Hotel,1353,1028,65.0,3825,2023-08-21
Primera Grand,3997,1474,85.9,3338,2023-08-21
dHCI Executive Boutique Hotel,1108,1725,53.7,4148,2023-08-21
ProLiant Haven,2781,1727,57.4,3486,2023-08-21
Apollo Executive Beach Resort,1891,1697,61.3,4148,2023-08-21
Aruba Lodge,1062,1619,60.6,3629,2023-08-21
Alletra Haven,2961,1187,52.3,3316,2023-08-21
dHCI Platinum Beach Resort,1248,1835,85.3,3364,2023-08-21
GreenLake Platinum Heritage Inn,3323,1674,86.2,3025,2023-08-21
Pointnext Signature Residences & Suites,2785,1351,92.1,4474,2023-08-21
ProLiant Place,2959,1627,84.9,4598,2023-08-21
Synergy Golden Grand Hotel,1199,1186,90.2,4900,2023-08-21
Alletra Resort,1959,1748,87.8,3367,2023-08-21
GreenLake Digital Business Suites,2567,1747,65.4,3362,2023-08-21
Apollo Resort & Spa,3536,1662,79.3,4928,2023-08-21
Nimble Inn,3878,1417,92.9,3973,2023-08-21
Ezmeral Grand Hotel,3035,1385,58.9,3265,2023-08-21
Alletra Boutique Hotel,2293,1068,75.4,3360,2023-08-21
Simplivity Golden Plaza Hotel,2018,1151,94.4,4503,2023-08-21
Cray Villas,2082,1770,94.5,3718,2023-08-21
Apollo Diamond Suites,1978,1866,88.9,3645,2023-08-21
Apollo Towers,1285,1600,66.2,3019,2023-08-21
Alletra Diamond Grand Hotel,2231,1575,60.3,4551,2023-08-22
ProLiant Towers,2848,1542,61.8,3064,2023-08-22
Aruba Luxury Lodge,3231,1571,72.8,3189,2023-08-22
InfoSight Boutique Hotel,2930,1376,87.4,3832,2023-08-22
Primera Grand,2387,1034,56.9,3429,2023-08-22
dHCI Executive Boutique Hotel,1538,1910,52.9,4887,2023-08-22
ProLiant Haven,3753,1690,90.9,3516,2023-08-22
